FRACTION I - Water,,,,,,,,,,,,,,,Calibration,,,,,,,,,,,,,,,,,,,
Soil,Time,Samples ID,Repetition,Weight (g),Volume (mL),Dilution factor,Absorbance,P mg/L,P mg/kg,Mean,SD,S4,Forest - TWW,,po43- (mg),Absorbance,,,Adjusted,,,,,,,,,,,,,,,
S6,Initial,S6,4,0.5066,30,2.5,0.2784,1.335864486,197.7691205,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,1,0.503,30,5,0.1179,0.398364486,118.7965664,112.2861631,4.80379558,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,2,0.5032,30,5,0.1128,0.368574766,109.8692666,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,3,0.5067,30,5,0.112,0.363901869,107.7270187,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,4,0.5051,30,5,0.1147,0.379672897,112.7518008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACTION V - Perchloric acid and sulfuric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,Time,Samples ID,Repetition,Weight (g),Volume (mL),Dilution factor,Absorbance,P mg/L,P mg/kg,Mean,SD,,,,,,,,,,,,,,,,,,,,,,,
,,Blank1,,,30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,1,0.5038,100,5,0.139,0.52502402,521.0639337,507.5616123,14.08393103,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,2,0.503,100,5,0.1383,0.520935235,517.8282649,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,3,0.5048,100,5,0.1354,0.503995982,499.2036274,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S5,4,0.5061,100,5,0.1344,0.498154861,492.1506231,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,1,0.5026,100,5,0.1283,0.46252402,460.1313366,427.0372169,28.03852572,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,2,0.5049,100,5,0.1249,0.442664206,438.3681981,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,3,0.5048,100,5,0.1176,0.40002402,396.2203046,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,4,0.5071,100,5,0.1209,0.41929972,413.4290283,,,,,,,,,,,,,,,,,,,,,0.495996289,,10.11012842,,1.626322704
S6,Initial,S6,1,0.5066,100,5,0.141,0.536706263,529.7140373,533.7310855,41.43494352,,,,,,,,,,,,,,,,,,,0.807325452,,1.443861006,,6.379515067
S6,Initial,S6,2,0.5067,100,5,0.1516,0.59862215,590.7066809,,,,,,,,,,,,,,,,,,,,,8.3143378,,6.599037233,,5.560723
S6,Initial,S6,3,0.506,100,5,0.1397,0.529112805,522.8387397,,,,,,,,,,,,,,,,,,,,,3.218205824,,,,4.80379558
S6,Initial,S6,4,0.5066,100,5,0.1344,0.498154861,491.6648842,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,1,0.503,100,5,0.218,0.986472618,980.5890832,940.9645158,29.03078737,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,2,0.5032,100,5,0.209,0.933902524,927.9635575,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,3,0.5067,100,5,0.2075,0.925140842,912.9078765,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,4,0.5051,100,5,0.2121,0.952010001,942.3975459,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample,F1,F2,F3,F4,F5,SUM,Total P,,,,,,,,,,,,,,,,,,,,,,,,,,
,S4,111.1975908,194.3462893,329.6004863,185.4938101,505.3698569,1326.008034,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S5,1.109931212,57.92281003,130.5020822,84.15599188,422.4839254,696.1747407,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S6,31.59874534,266.5416155,313.075345,204.9344888,529.8385456,1345.98874,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S7,7.799398616,196.1161883,359.578385,112.2861631,920.1960225,1595.976158,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PERCENTAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample,F1,F2,F3,F4,F5,SUM,Total P,,,,,,,,,,,,,,,,,,,,,,,,,,
,S4,8.385891188,14.65649411,24.856598,13.98889037,38.11212633,100,1326.008034,,,,,,,,,,,,,,,,,,,,,,,,,,
,S5,0.159432847,8.320153927,18.74559282,12.08834319,60.68647721,100,696.1747407,,,,,,,,,,,,,,,,,,,,,,,,,,
,S6,2.347623304,19.80266309,23.25987845,15.2255723,39.36426285,100,1345.98874,,,,,,,,,,,,,,,,,,,,,,,,,,
,S7,0.488690248,12.28813571,22.53025633,7.035562045,57.65711491,99.99975925,1595.98,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524.147165,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.0291067,,,,,,
