Type of Soil,Concentration added (mg/L),Repetition,Soil (g),Volume (mL),Dilution Factor,Equilibrium P (absorbance),Equilibrium Concentration  (mg/L),Average Equilibrium Concentration (Ceq) (mg/L),SD,P desorbed (mg/kg),Average P desobd (mg/kg),SD,P adsorbed (Q) (mg/kg),P desorbed (%),Average P desorbed (%),SD,,,,,,
,,,,,,,,,,,,,,,,,,P added (mg/L) (C0),Ceq (mg /L),des(mg/kg),P ads (mg/kg),P (desorb %)
,60,1,1.0012,15,1,0.4728,2.471378505,2.535825545,0.140905883,37.02624607,37.77500029,2.13942657,472.8700559,7.830110114,8.095456753,0.532305346,,,,,,
,60,2,1.013,15,1,0.4672,2.438668224,,,36.11058575,,,466.0644103,7.747981813,,,,,,,,
,60,3,1.0068,15,1,0.5115,2.697429907,,,40.18816905,,,461.4938512,8.708278333,,,,,,,,
,80,,1.0017,15,1,0.6218,3.341705607,3.39758567,0.156890755,50.04051524,50.63810108,2.571503523,567.7264538,8.814194741,8.858677643,0.385223645,,,,,,
,80,,1.0031,15,1,0.6617,3.574766355,,,53.4557824,,,577.0138272,9.264211684,,,,,,,,
,80,,1.015,15,1,0.6106,3.276285047,,,48.41800562,,,569.7826988,8.497626502,,,,,,,,
,100,,1.0038,15,1,0.7604,4.151285047,4.154205607,0.004562062,62.03354822,61.95631913,0.241305447,607.5118405,10.21108464,10.31433938,0.091027003,,,,,,
,100,,1.0096,15,1,0.7605,4.151869159,,,61.68585319,,,596.0593721,10.34894443,,,,,,,,
,100,,1.0039,15,1,0.7618,4.159462617,,,62.14955598,,,598.5709471,10.38298906,,,,,,,,
,,,,,,,,,,,,,,,,,,P added (mg/L) (C0),Ceq (mg /L),Q (mg/kg),,
,,,,,,,,,,,,,,,,,,,,48,,
,,,,,,,,,,,,,,,,,,,,,,
Agriultural TWW,1,1,1.0169,15,1,0.1215,0.419392523,0.420560748,0.007081983,6.186338726,6.232499365,0.091619261,14.5008469,42.66191325,44.20763418,2.437333071,,1,0.420560748,6.232499365,,
,1,2,1.0063,15,1,0.1206,0.414135514,,,6.173141916,,,14.37497504,42.9436705,,,,3,0.839563863,12.50406441,,
,1,3,1.0133,15,1,0.123,0.428154206,,,6.338017452,,,13.48017627,47.01731879,,,,5,1.209890966,17.93328748,,
,3,1,1.008,15,1,0.1882,0.808995327,0.839563863,0.069762491,12.03862094,12.50406441,1.01957428,33.54298787,35.89012698,42.15614569,6.00320402,,10,1.935747664,28.82733151,,
,3,2,1.0046,15,1,0.185,0.790303738,,,11.80027481,,,27.62119019,42.72181876,,,,20,2.60241433,38.55144646,,
,3,3,1.0086,15,1,0.2071,0.919392523,,,13.67329749,,,28.57145836,47.85649133,,,,40,6.492990654,96.66374046,,
,5,1,1.0131,15,1,0.2424,1.125584112,1.209890966,0.085600501,16.66544436,17.93328748,1.308706258,42.92195141,38.82732218,39.85584909,5.861406387,,60,10.85864486,160.0986458,,
,5,2,1.0089,15,1,0.2717,1.296728972,,,19.27934838,,,41.7632371,46.16344354,,,,80,13.03543614,193.6347156,,
,5,3,1.0143,15,1,0.2564,1.207359813,,,17.8550697,,,51.63890018,34.57678153,,,,100,13.55334891,201.5928796,,
,10,1,1.0033,15,1,0.4038,2.068341121,1.935747664,0.126905674,30.92307069,28.82733151,2.040306042,73.55108981,42.04298096,38.03522928,3.971921272,,,,,,
,10,2,1.0049,15,1,0.379,1.923481308,,,28.71153311,,,75.63115965,37.96257157,,,,,,,,
,10,3,1.0143,15,1,0.3605,1.815420561,,,26.84739072,,,78.73103867,34.10013532,,,,,44.20763418,14.11866607,,
,20,1,1.017,15,1,0.4928,2.588200935,2.60241433,0.121245606,38.17405508,38.55144646,1.534914919,111.6217067,34.1994906,34.31513232,3.81047836,,,42.15614569,29.91187881,,
,20,2,1.0025,15,1,0.4758,2.488901869,,,37.24042697,,,121.8449204,30.56379112,,,,,39.85584909,45.44136289,,
,20,3,1.0177,15,1,0.5171,2.730140187,,,40.23985733,,,105.3892826,38.18211524,,,,,38.03522928,75.97109605,,
