Type of Soil,Concentration added (mg/L),Repetition,Soil (g),Volume (mL),Dilution Factor,Equilibrium P (absorbance),Equilibrium P adjusted (absorbance),Equilibrium Concentration  (mg/L), Equilibrium Concentration normalized (Ceq) (mg/L),Average Equilibrium Concentration (Ceq) (mg/L),SD,P adsorbed (Q) (mg/kg),Average P adsorbed (Q) (mg/kg),SD,,,,
,100,,1.0096,15,25,0.5088,0.459766667,59.88123053,59.88123053,,,596.0593721,,,,,,
,100,,1.0039,15,25,0.5092,0.460166667,59.93964174,59.93964174,,,598.5709471,,,,,,
S6                                 (Agricultural TWW irrigated),0,1,1.0166,15,1,0.1346,0.085566667,0.209501558,0.44373053,,,,,,,,,
,0,2,1.0187,15,1,0.1415,0.092466667,0.249805296,,,,,,,,,,
,0,3,1.0159,15,1,0.248,0.198966667,0.871884735,,,,,,,,,,
,0.5,1,1.0167,15,1,0.2103,0.161266667,0.651674455,0.207943925,0.221378505,0.038873091,4.308882779,4.124719407,0.574447152,,P added (mg/L) (C0),Ceq (mg /L),Q (mg/kg)
,0.5,2,1.0119,15,1,0.2201,0.171066667,0.708917445,0.265186916,,,3.480775039,,,,0,0,0
,0.5,3,1.011,15,1,0.2074,0.158366667,0.634735202,0.191004673,,,4.584500402,,,,0.5,0.221378505,4.124719407
,1,1,1.0169,15,1,0.1776,0.128566667,0.460669782,0.016939252,0.047313084,0.037601582,14.5008469,14.11866607,0.556518508,,1,0.047313084,14.11866607
,1,2,1.0063,15,1,0.1808,0.131766667,0.479361371,0.035630841,,,14.37497504,,,,3,0.991627726,29.91187881
,1,3,1.0133,15,1,0.19,0.140966667,0.533099688,0.089369159,,,13.48017627,,,,5,1.933411215,45.44136289
,3,1,1.008,15,1,0.3024,0.253366667,1.189641745,0.745911215,0.991627726,0.215759147,33.54298787,29.91187881,3.180325013,,10,4.89661215,75.97109605
,3,2,1.0046,15,1,0.3716,0.322566667,1.593847352,1.150116822,,,27.62119019,,,,20,12.37947819,112.9519699
,3,3,1.0086,15,1,0.3594,0.310366667,1.52258567,1.07885514,,,28.57145836,,,,40,25.17932243,232.2140451
,5,1,1.0131,15,1,0.5344,0.485366667,2.544781931,2.101051402,1.933411215,0.370999511,42.92195141,45.44136289,5.398403096,,60,35.44178349,362.0853624
,5,2,1.0089,15,1,0.5498,0.500766667,2.634735202,2.191004673,,,41.7632371,,,,80,50.81016355,433.5910095
,5,3,1.0143,15,1,0.4329,0.383866667,1.9519081,1.50817757,,,51.63890018,,,,100,70.22410436,442.8813648
,10,1,1.0033,15,2,0.5716,0.522566667,5.524143302,5.080412773,4.89661215,0.204573832,73.55108981,75.97109605,2.606652086,,,,
,10,2,1.0049,15,2,0.559,0.509966667,5.37694704,4.933216511,,,75.63115965,,,,,,
,10,3,1.0143,15,2,0.537,0.487966667,5.119937695,4.676207165,,,78.73103867,,,,,,
,20,1,1.017,15,5,0.5396,0.490566667,12.87577882,12.43204829,12.37947819,0.4985783,111.6217067,112.9519699,8.308080652,,,,
,20,2,1.0025,15,5,0.5199,0.470866667,12.30042835,11.85669782,,,121.8449204,,,,,,
,20,3,1.0177,15,5,0.5539,0.504866667,13.293419,12.84968847,,,105.3892826,,,,,,
,40,1,1.0022,15,10,0.5374,0.488366667,25.62305296,25.17932243,24.39855919,0.760251377,221.8221548,232.2140451,9.767886334,,,,
,40,2,1.0045,15,10,0.5233,0.474266667,24.79945483,24.3557243,,,233.6128776,,,,,,
,40,3,1.0161,15,10,0.5114,0.462366667,24.10436137,23.66063084,,,241.207103,,,,,,
,60,1,1.0187,15,15,0.5087,0.459666667,35.91997664,35.47624611,35.44178349,0.096717755,361.1036698,362.0853624,1.482620824,,,,
,60,2,1.0163,15,15,0.50916,0.460126667,35.96028037,35.51654984,,,361.3615589,,,,,,
,60,3,1.0171,15,15,0.50706,0.458026667,35.77628505,35.33255452,,,363.7908586,,,,,,
,80,,1.0072,15,20,0.5322,0.483166667,50.63862928,50.19489875,50.81016355,0.889795378,443.8805785,433.5910095,13.52079318,,,,
,80,,1.0102,15,20,0.5462,0.497166667,52.2741433,51.83041277,,,418.2773791,,,,,,
,80,,1.0121,15,20,0.534,0.484966667,50.84890966,50.40517913,,,438.6150707,,,,,,
,100,,1.007,15,25,0.5836,0.534566667,70.80412773,70.3603972,70.22410436,0.624572233,441.5035174,442.8813648,8.71450147,,,,
,100,,1.0081,15,25,0.5864,0.537366667,71.21300623,70.7692757,,,434.9378678,,,,,,
,100,,1.0103,15,25,0.578,0.528966667,69.98637072,69.54264019,,,452.2027093,,,,,,
S7                               (Agricultural nonirrigated),0,1,1.005,15,1,0.1146,0.065566667,0.092679128,0.00817757,,,,,,,P added (mg/L) (C0),Ceq (mg /L),Q (mg/kg)
,0,2,1.0038,15,1,0.1043,0.055266667,0.032515576,,,,,,,,0,0,0
,0,3,1.0056,15,1,0.0815,0.032466667,-0.100661994,,,,,,,,0.5,0.103971963,5.768162096
,0.5,1,1.0136,15,1,0.1115,0.062466667,0.074571651,0.066394081,0.103971963,0.034111016,6.295802322,5.768162096,0.485467539,,1,0.34521028,13.96122543
,0.5,2,1.0079,15,1,0.1229,0.073866667,0.141160436,0.132982866,,,5.340404264,,,,3,0.304517134,40.0959473
,0.5,3,1.0037,15,1,0.1194,0.070366667,0.120716511,0.112538941,,,5.668279702,,,,5,0.555880062,66.18409408
,1,1,1.0047,15,1,0.1607,0.111666667,0.361954829,0.353777259,0.34521028,0.221502793,9.525905813,13.96122543,6.671578382,,10,2.213785047,115.8643448
,1,2,1.008,15,1,0.1206,0.071566667,0.127725857,0.119548287,,,21.63378332,,,,20,7.163746106,190.6502676
,1,3,1.0013,15,1,0.1964,0.147366667,0.570482866,0.562305296,,,10.72398717,,,,40,18.36662773,320.3315142
,3,1,1.0022,15,1,0.153,0.103966667,0.316978193,0.308800623,0.304517134,0.066108835,40.15698174,40.0959473,1.131634518,,60,29.72021028,447.4566043
,3,2,1.0107,15,1,0.1632,0.114166667,0.376557632,0.368380062,,,38.93503069,,,,80,44.50506231,526.9944587
,3,3,1.0033,15,1,0.1406,0.091566667,0.244548287,0.236370717,,,41.19582946,,,,100,61.94178349,562.5867342
,5,1,1.0066,15,1,0.201,0.151966667,0.597352025,0.589174455,0.555880062,0.056658879,65.60671531,66.18409408,0.858921406,,,,
,5,2,1.0043,15,1,0.2008,0.151766667,0.596183801,0.588006231,,,65.77441301,,,,,,
,5,3,1.0052,15,1,0.1841,0.135066667,0.498637072,0.490459502,,,67.17115392,,,,,,
,10,1,1.0039,15,2,0.2742,0.225166667,2.049844237,2.041666667,2.213785047,0.171153166,118.7890591,115.8643448,2.842769732,,,,
,10,2,1.0082,15,2,0.2891,0.240066667,2.223909657,2.215732087,,,115.6926752,,,,,,
,10,3,1.0089,15,2,0.3035,0.254466667,2.392133956,2.383956386,,,113.1113001,,,,,,
,20,1,1.0132,15,5,0.3379,0.288866667,6.985007788,6.976830218,7.163746106,0.21997465,192.6814875,190.6502676,3.331941817,,,,
,20,2,1.0106,15,5,0.3526,0.303566667,7.414330218,7.406152648,,,186.8049146,,,,,,
,20,3,1.0041,15,5,0.3424,0.293366667,7.116433022,7.108255452,,,192.4644006,,,,,,
,40,1,1.0057,15,10,0.4123,0.363266667,18.31580997,18.3076324,18.36662773,0.054504268,323.4193601,320.3315142,2.690945388,,,,
,40,2,1.0143,15,10,0.41414,0.365106667,18.4232866,18.41510903,,,319.0877462,,,,,,
,40,3,1.018,15,10,0.41349,0.364456667,18.38531931,18.37714174,,,318.4874364,,,,,,
,60,1,1.0163,15,15,0.4381,0.389066667,29.73422897,29.7260514,29.72021028,0.026767381,446.7052695,447.4566043,1.624139855,,,,
,60,2,1.0183,15,15,0.4377,0.388666667,29.69918224,29.69100467,,,446.3441681,,,,,,
,60,3,1.0098,15,15,0.4383,0.389266667,29.75175234,29.74357477,,,449.3203753,,,,,,
,80,,1.0093,15,20,0.483,0.433966667,44.89096573,44.88278816,44.50506231,0.363153066,521.7829327,526.9944587,4.513524213,,,,
,80,,1.0059,15,20,0.4795,0.430466667,44.48208723,44.47390966,,,529.6437932,,,,,,
,80,,1.015,15,20,0.4768,0.427766667,44.16666667,44.1584891,,,529.5566502,,,,,,
,100,,1.0168,15,25,0.5252,0.476166667,62.27609034,62.26791277,61.94178349,0.552274356,556.5092888,562.5867342,6.988143715,,,,
,100,,1.009,15,25,0.5251,0.476066667,62.26148754,62.25330997,,,561.028431,,,,,,
,100,,1.0177,15,25,0.5186,0.469566667,61.3123053,61.30412773,,,570.2224826,,,,,,
